schl_nr,feld,wert_alt,wert_neu,beleg,quelle,datum
02949,namensgruppe,"Person, Mann, Deutschen, Minnesängerr","Person, Mann, Deutscher, Minnesänger","Person, Mann, Deutscher, Minnesänger",goldstandard,2026-09-13
02949,stadium_1_datum,,27.09.1962,1962-09-27,goldstandard,2026-09-13
02949,stadium_1_name,,Spervogelweg,Spervogelweg,goldstandard,2026-09-13
00016,stadium_4_name,Moitkestraße (tlw.),Moltkestraße (tlw.),,llm-lauf,2026-09-13
00025,stadium_1_name,Akazienaltee,Akazienallee,,llm-lauf,2026-09-13
00036,namensgruppe,"Person, Mann, Deutscher, Familie Krupp, Industrielter, Männlicher Vorname","Person, Mann, Deutscher, Familie Krupp, Industrieller, Männlicher Vorname",,llm-lauf,2026-09-13
00050,stadium_3_name,Thomaestraße (tlw.),Thomaestraße (tlw. Umb.),,llm-lauf,2026-09-13
00050,stadium_4_name,Altendorfer Straße (tlw.),Altendorfer Straße (tlw. Umb.),,llm-lauf,2026-09-13
00084,namensgruppe,"Hurname, Hofname","Flurname, Hofname",,llm-lauf,2026-09-13
00085,lemma,Am Handelshof - Handelshof 1913 KEN U E Weein Am Handelshof,Am Handelshof,,llm-lauf,2026-09-13
00126,namensgruppe,Fiurname,Flurname,,llm-lauf,2026-09-13
00136,lemma,Am Treppehen,Am Treppchen,,llm-lauf,2026-09-13
00153,lemma,Ander Bergbrücke,An der Bergbrücke,,llm-lauf,2026-09-13
00192,namensgruppe,"Person, Mann, Deutscher, Literaturwissenschaftlen","Person, Mann, Deutscher, Literaturwissenschaftler",,llm-lauf,2026-09-13
00207,lemma,I. ia Auf dem Sutan,Auf dem Sutan,,llm-lauf,2026-09-13
00235,lemma,Aufm Uhlenbroich,Auf'm Uhlenbroich,,llm-lauf,2026-09-13
00246,stadium_2_name,Am Roten Haus (Verl) Name einer Flur,Am Roten Haus (Verl.),,llm-lauf,2026-09-13
00268,lemma,AmWasserturm,Am Wasserturm,,llm-lauf,2026-09-13
00269,strassenklasse,,Gemeindestraße,,llm-lauf,2026-09-13
00278,lemma,43 ff Bahnstraße,Bahnstraße,,llm-lauf,2026-09-13
00281,stadium_3_name,Berthold-Beitz-Boulevard (tlw.),Berthold-Beitz-Boulevard (tlw. Umb.),,llm-lauf,2026-09-13
00286,stadium_2_datum,,14.11.1935,,llm-lauf,2026-09-13
00286,stadium_2_name,,Barbarossaplatz,,llm-lauf,2026-09-13
00331,lemma,"[sie > °"" sr $ Bergheimer Steig",Bergheimer Steig,,llm-lauf,2026-09-13
00334,stadium_1_name,Ill,III. Rottstraße,,llm-lauf,2026-09-13
00360,stadtteile,Überruhr-Hinset; Überruhr-Holthausen,Überruhr-Hinsel; Überruhr-Holthausen,,llm-lauf,2026-09-13
00366,lemma,Ben RN RAN) gs das Birkmannsweg - Hof Birkmann Birkmannsweg,Birkmannsweg,,llm-lauf,2026-09-13
00374,stadium_2_datum,1953-02-02,02.02.1959,,llm-lauf,2026-09-13
